Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,,,Type WP310H,,,,,,
,,,,,,,,,,,,,,Grade Type TP310H,,,,,,
,,,,,,,,,,,,,,Grade TP310H,,,,,,
,,,,,,,,,,,,,,Type TP310H,,,,,,
,,,,,,,,,,,,,,Grade Type 310H,,,,,,
,,,,,,,,,,,,,,Grade 310H,,,,,,
,,,,,,,,,,,,,,Type 310H,,,,,,
,,,,,,,,,,,,,,Grade Type FP310H,,,,,,
,,,,,,,,,,,,,,Grade FP310H,,,,,,
,,,,,,,,,,,,,,Type FP310H,,,,,,
,,,,,,,,,,,,,,Grade Type 800H,,,,,,
,,,,,,,,,,,,,,Grade 800H,,,,,,
,,,,,,,,,,,,,,Type 800H,,,,,,
,,,,,,,,,,,,,,800H,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N08811,,,,,,
,,,,,,,,,,,,,,Grade UNS N08811,,,,,,
,,,,,,,,,,,,,,Type UNS N08811,,,,,,
,,,,,,,,,,,,,,UNS N08811,,,,,,
,,,,,,,,,,,,,,Grade Type 800HT,,,,,,
,,,,,,,,,,,,,,Grade 800HT,,,,,,
,,,,,,,,,,,,,,Type 800HT,,,,,,
,,,,,,,,,,,,,,800HT,,,,,,
,,,,,,,,,,,,,,Grade Type 800H/HT,,,,,,
,,,,,,,,,,,,,,Grade 800H/HT,,,,,,
,,,,,,,,,,,,,,Type 800H/HT,,,,,,
,,,,,,,,,,,,,,800H/HT,,,,,,
,,,,,,,,,,,,,,Grade Type 800HP,,,,,,
,,,,,,,,,,,,,,Grade 800HP,,,,,,
,,,,,,,,,,,,,,Type 800HP,,,,,,
,,,,,,,,,,,,,,800HP,,,,,,
,,,,,,,,,,,,,,Grade Type F347H,,,,,,
,,,,,,,,,,,,,,Grade F347H,,,,,,
,,,,,,,,,,,,,,Type F347H,,,,,,
,,,,,,,,,,,,,,F347H,,,,,,
,,,,,,,,,,,,,,Grade Type WP347H,,,,,,
,,,,,,,,,,,,,,Grade WP347H,,,,,,
,,,,,,,,,,,,,,Type WP347H,,,,,,
,,,,,,,,,,,,,,WP347H,,,,,,
,,,,,,,,,,,,,,Grade Type TP347H,,,,,,
,,,,,,,,,,,,,,Grade TP347H,,,,,,
,,,,,,,,,,,,,,Type TP347H,,,,,,
,,,,,,,,,,,,,,TP347H,,,,,,
,,,,,,,,,,,,,,Grade Type 347H,,,,,,
,,,,,,,,,,,,,,Grade 347H,,,,,,
,,,,,,,,,,,,,,Type 347H,,,,,,
,,,,,,,,,,,,,,347H,,,,,,
,,,,,,,,,,,,,,Grade Type FP347H,,,,,,
,,,,,,,,,,,,,,Grade FP347H,,,,,,
,,,,,,,,,,,,,,Type FP347H,,,,,,
,,,,,,,,,,,,,,FP347H,,,,,,
,,,,,,,,,,,,,,Grade Type T347H,,,,,,
,,,,,,,,,,,,,,Grade T347H,,,,,,
,,,,,,,,,,,,,,Type T347H,,,,,,
,,,,,,,,,,,,,,T347H,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S34709,,,,,,
,,,,,,,,,,,,,,Grade UNS S34709,,,,,,
,,,,,,,,,,,,,,Type UNS S34709,,,,,,
,,,,,,,,,,,,,,UNS S34709,,,,,,
,,,,,,,,,,,,,,UNS S30155,,,,,,
,,,,,,,,,,,,,,Grade Type 4120,,,,,,
,,,,,,,,,,,,,,Grade 4120,,,,,,
,,,,,,,,,,,,,,Type 4120,,,,,,
,,,,,,,,,,,,,,4120,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G41200,,,,,,
,,,,,,,,,,,,,,Grade UNS G41200,,,,,,
,,,,,,,,,,,,,,Type UNS G41200,,,,,,
,,,,,,,,,,,,,,UNS G41200,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G92250,,,,,,
,,,,,,,,,,,,,,Grade UNS G92250,,,,,,
,,,,,,,,,,,,,,Type UNS G92250,,,,,,
,,,,,,,,,,,,,,UNS G92250,,,,,,
,,,,,,,,,,,,,,Grade Type 9255,,,,,,
,,,,,,,,,,,,,,Grade 9255,,,,,,
,,,,,,,,,,,,,,Type 9255,,,,,,
,,,,,,,,,,,,,,9255,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 9255,,,,,,
,,,,,,,,,,,,,,Grade AISI 9255,,,,,,
,,,,,,,,,,,,,,Type AISI 9255,,,,,,
,,,,,,,,,,,,,,AISI 9255,,,,,,
,,,,,,,,,,,,,,Grade Type 9260,,,,,,
,,,,,,,,,,,,,,Grade 9260,,,,,,
,,,,,,,,,,,,,,Type 9260,,,,,,
,,,,,,,,,,,,,,9260,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G92600,,,,,,
,,,,,,,,,,,,,,Grade UNS G92600,,,,,,
,,,,,,,,,,,,,,Type UNS G92600,,,,,,
,,,,,,,,,,,,,,UNS G92600,,,,,,
,,,,,,,,,,,,,,Grade Type 9260H,,,,,,
,,,,,,,,,,,,,,Grade 9260H,,,,,,
,,,,,,,,,,,,,,Type 9260H,,,,,,
,,,,,,,,,,,,,,9260H,,,,,,
,,,,,,,,,,,,,,Grade Type UNS H92600,,,,,,
,,,,,,,,,,,,,,Grade UNS H92600,,,,,,
,,,,,,,,,,,,,,Type UNS H92600,,,,,,
,,,,,,,,,,,,,,UNS H92600,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 9260,,,,,,
,,,,,,,,,,,,,,Grade AISI 9260,,,,,,
,,,,,,,,,,,,,,Type AISI 9260,,,,,,
,,,,,,,,,,,,,,AISI 9260,,,,,,
,,,,,,,,,,,,,,Grade Type 1340H,,,,,,
,,,,,,,,,,,,,,Grade 1340H,,,,,,
,,,,,,,,,,,,,,Type 1340H,,,,,,
,,,,,,,,,,,,,,1340H,,,,,,
,,,,,,,,,,,,,,Grade Type 1340,,,,,,
,,,,,,,,,,,,,,Grade 1340 ,,,,,,
,,,,,,,,,,,,,,Type 1340 ,,,,,,
,,,,,,,,,,,,,,1340,,,,,,
,,,,,,,,,,,,,,Grade 1340,,,,,,
,,,,,,,,,,,,,,Type 1340,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G13400,,,,,,
,,,,,,,,,,,,,,Grade UNS G13400,,,,,,
,,,,,,,,,,,,,,Type UNS G13400,,,,,,
,,,,,,,,,,,,,,UNS G13400,,,,,,
,,,,,,,,,,,,,,Grade Type WP1,,,,,,
,,,,,,,,,,,,,,Grade WP1,,,,,,
,,,,,,,,,,,,,,Type WP1,,,,,,
,,,,,,,,,,,,,,WP1,,,,,,
,,,,,,,,,,,,,,Grade Type WP1W,,,,,,
,,,,,,,,,,,,,,Grade WP1W,,,,,,
,,,,,,,,,,,,,,Type WP1W,,,,,,
,,,,,,,,,,,,,,WP1W,,,,,,
,,,,,,,,,,,,,,Grade Type WP1/WP1W,,,,,,
,,,,,,,,,,,,,,Grade WP1/WP1W,,,,,,
,,,,,,,,,,,,,,Type WP1/WP1W,,,,,,
,,,,,,,,,,,,,,WP1/WP1W,,,,,,
,,,,,,,,,,,,,,Grade Type TP1,,,,,,
,,,,,,,,,,,,,,Grade TP1,,,,,,
,,,,,,,,,,,,,,Type TP1,,,,,,
,,,,,,,,,,,,,,TP1,,,,,,
,,,,,,,,,,,,,,Grade Type FP1,,,,,,
,,,,,,,,,,,,,,Grade FP1,,,,,,
,,,,,,,,,,,,,,Type FP1,,,,,,
,,,,,,,,,,,,,,FP1,,,,,,
,,,,,,,,,,,,,,Grade Type T1,,,,,,
,,,,,,,,,,,,,,Grade T1,,,,,,
,,,,,,,,,,,,,,T1,,,,,,
,,,,,,,,,,,,,,Grade Type A/B,,,,,,
,,,,,,,,,,,,,,Grade A/B,,,,,,
,,,,,,,,,,,,,,Type A/B,,,,,,
,,,,,,,,,,,,,,A/B,,,,,,
,,,,,,,,,,,,,,Grade Type T1a,,,,,,
,,,,,,,,,,,,,,Grade T1a,,,,,,
,,,,,,,,,,,,,,Type T1a,,,,,,
,,,,,,,,,,,,,,T1a,,,,,,
,,,,,,,,,,,,,,Grade Type T1b,,,,,,
,,,,,,,,,,,,,,Grade T1b,,,,,,
,,,,,,,,,,,,,,Type T1b,,,,,,
,,,,,,,,,,,,,,T1b,,,,,,
,,,,,,,,,,,,,,Grade Type P1,,,,,,
,,,,,,,,,,,,,,Grade P1,,,,,,
,,,,,,,,,,,,,,Type P1,,,,,,
,,,,,,,,,,,,,,P1,,,,,,
,,,,,,,,,,,,,,Grade Type CP1,,,,,,
,,,,,,,,,,,,,,Grade CP1,,,,,,
,,,,,,,,,,,,,,Type CP1,,,,,,
,,,,,,,,,,,,,,CP1,,,,,,
,,,,,,,,,,,,,,Grade Type 4422,,,,,,
,,,,,,,,,,,,,,Grade 4422,,,,,,
,,,,,,,,,,,,,,Type 4422,,,,,,
,,,,,,,,,,,,,,4422,,,,,,
,,,,,,,,,,,,,,Grade Type WC1,,,,,,
,,,,,,,,,,,,,,Grade WC1,,,,,,
,,,,,,,,,,,,,,Type WC1,,,,,,
,,,,,,,,,,,,,,WC1,,,,,,
,,,,,,,,,,,,,,Grade Type LC1,,,,,,
,,,,,,,,,,,,,,Grade LC1,,,,,,
,,,,,,,,,,,,,,Type LC1,,,,,,
,,,,,,,,,,,,,,LC1,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J12524,,,,,,
,,,,,,,,,,,,,,Grade UNS J12524,,,,,,
,,,,,,,,,,,,,,Type UNS J12524,,,,,,
,,,,,,,,,,,,,,UNS J12524,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J12522,,,,,,
,,,,,,,,,,,,,,Grade UNS J12522,,,,,,
,,,,,,,,,,,,,,Type UNS J12522,,,,,,
,,,,,,,,,,,,,,UNS J12522,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G44220,,,,,,
,,,,,,,,,,,,,,Grade UNS G44220,,,,,,
,,,,,,,,,,,,,,Type UNS G44220,,,,,,
,,,,,,,,,,,,,,UNS G44220,,,,,,
,,,,,,,,,,,,,,Grade Type LCB,,,,,,
,,,,,,,,,,,,,,Grade LCB,,,,,,
,,,,,,,,,,,,,,Type LCB,,,,,,
,,,,,,,,,,,,,,LCB,,,,,,
,,,,,,,,,,,,,,C ,,,,,,
,,,,,,,,,,,,,,Grade Type 4520,,,,,,
,,,,,,,,,,,,,,Grade 4520,,,,,,
,,,,,,,,,,,,,,Type 4520,,,,,,
,,,,,,,,,,,,,,4520,,,,,,
,,,,,,,,,,,,,,Grade Type 4037,,,,,,
,,,,,,,,,,,,,,Grade 4037,,,,,,
,,,,,,,,,,,,,,Type 4037,,,,,,
,,,,,,,,,,,,,,4037,,,,,,
,,,,,,,,,,,,,,Grade Type L7A,,,,,,
,,,,,,,,,,,,,,Grade L7A,,,,,,
,,,,,,,,,,,,,,Type L7A,,,,,,
,,,,,,,,,,,,,,L7A,,,,,,
,,,,,,,,,,,,,,Grade Type L71,,,,,,
,,,,,,,,,,,,,,Grade L71,,,,,,
,,,,,,,,,,,,,,Type L71,,,,,,
,,,,,,,,,,,,,,L71,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K14508,,,,,,
,,,,,,,,,,,,,,Grade UNS K14508,,,,,,
,,,,,,,,,,,,,,Type UNS K14508,,,,,,
,,,,,,,,,,,,,,UNS K14508,,,,,,
,,,,,,,,,,,,,,Grade Type 50B46,,,,,,
,,,,,,,,,,,,,,Grade 50B46,,,,,,
,,,,,,,,,,,,,,Type 50B46,,,,,,
,,,,,,,,,,,,,,50B46,,,,,,
,,,,,,,,,,,,,,Grade Type 15B21H,,,,,,
,,,,,,,,,,,,,,Grade 15B21H,,,,,,
,,,,,,,,,,,,,,Type 15B21H,,,,,,
,,,,,,,,,,,,,,15B21H,,,,,,
,,,,,,,,,,,,,,Grade Type 15B21RH,,,,,,
,,,,,,,,,,,,,,Grade 15B21RH,,,,,,
,,,,,,,,,,,,,,Type 15B21RH,,,,,,
,,,,,,,,,,,,,,15B21RH,,,,,,
,,,,,,,,,,,,,,Grade Type LC2,,,,,,
,,,,,,,,,,,,,,Grade LC2,,,,,,
,,,,,,,,,,,,,,Type LC2,,,,,,
,,,,,,,,,,,,,,LC2,,,,,,
,,,,,,,,,,,,,,Grade Type B2NB2Q,,,,,,
,,,,,,,,,,,,,,Grade B2NB2Q,,,,,,
,,,,,,,,,,,,,,Type B2NB2Q,,,,,,
,,,,,,,,,,,,,,B2NB2Q,,,,,,
,,,,,,,,,,,,,,Grade Type LF3,,,,,,
,,,,,,,,,,,,,,Grade LF3,,,,,,
,,,,,,,,,,,,,,Type LF3,,,,,,
,,,,,,,,,,,,,,LF3,,,,,,
,,,,,,,,,,,,,,Grade Type WPL3,,,,,,
,,,,,,,,,,,,,,Grade WPL3,,,,,,
,,,,,,,,,,,,,,Type WPL3,,,,,,
,,,,,,,,,,,,,,WPL3,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K31918,,,,,,
,,,,,,,,,,,,,,Grade UNS K31918,,,,,,
,,,,,,,,,,,,,,Type UNS K31918,,,,,,
,,,,,,,,,,,,,,UNS K31918,,,,,,
,,,,,,,,,,,,,,Grade Type LC3,,,,,,
,,,,,,,,,,,,,,Grade LC3,,,,,,
,,,,,,,,,,,,,,Type LC3,,,,,,
,,,,,,,,,,,,,,LC3,,,,,,
,,,,,,,,,,,,,,Grade Type B3NB3Q,,,,,,
,,,,,,,,,,,,,,Grade B3NB3Q,,,,,,
,,,,,,,,,,,,,,Type B3NB3Q,,,,,,
,,,,,,,,,,,,,,B3NB3Q,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J31500,,,,,,
,,,,,,,,,,,,,,Grade UNS J31500,,,,,,
,,,,,,,,,,,,,,Type UNS J31500,,,,,,
,,,,,,,,,,,,,,UNS J31500,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J31550,,,,,,
,,,,,,,,,,,,,,Grade UNS J31550,,,,,,
,,,,,,,,,,,,,,Type UNS J31550,,,,,,
,,,,,,,,,,,,,,UNS J31550,,,,,,
,,,,,,,,,,,,,,Grade Type 8,,,,,,
,,,,,,,,,,,,,,Grade 8,,,,,,
,,,,,,,,,,,,,,Type 8,,,,,,
,,,,,,,,,,,,,,8,,,,,,
,,,,,,,,,,,,,,Grade Type -,,,,,,
,,,,,,,,,,,,,,Grade -,,,,,,
,,,,,,,,,,,,,,Type -,,,,,,
,,,,,,,,,,,,,,-,,,,,,
,,,,,,,,,,,,,,Grade Type WPL8,,,,,,
,,,,,,,,,,,,,,Grade WPL8,,,,,,
,,,,,,,,,,,,,,Type WPL8,,,,,,
,,,,,,,,,,,,,,WPL8,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K71340,,,,,,
,,,,,,,,,,,,,,Grade UNS K71340,,,,,,
,,,,,,,,,,,,,,Type UNS K71340,,,,,,
,,,,,,,,,,,,,,UNS K71340,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K81340,,,,,,
,,,,,,,,,,,,,,Grade UNS K81340,,,,,,
,,,,,,,,,,,,,,Type UNS K81340,,,,,,
,,,,,,,,,,,,,,UNS K81340,,,,,,
,,,,,,,,,,,,,,Grade Type AISI A2515,,,,,,
,,,,,,,,,,,,,,Grade AISI A2515,,,,,,
,,,,,,,,,,,,,,Type AISI A2515,,,,,,
,,,,,,,,,,,,,,AISI A2515,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K41853,,,,,,
,,,,,,,,,,,,,,Grade UNS K41853,,,,,,
,,,,,,,,,,,,,,Type UNS K41853,,,,,,
,,,,,,,,,,,,,,UNS K41853,,,,,,
,,,,,,,,,,,,,,Grade Type E2517,,,,,,
,,,,,,,,,,,,,,Grade E2517,,,,,,
,,,,,,,,,,,,,,Type E2517,,,,,,
,,,,,,,,,,,,,,E2517,,,,,,
,,,,,,,,,,,,,,Grade Type E2515,,,,,,
,,,,,,,,,,,,,,Grade E2515,,,,,,
,,,,,,,,,,,,,,Type E2515,,,,,,
,,,,,,,,,,,,,,Grade Type AISI A2512,,,,,,
,,,,,,,,,,,,,,Grade AISI A2512,,,,,,
,,,,,,,,,,,,,,Type AISI A2512,,,,,,
,,,,,,,,,,,,,,AISI A2512,,,,,,
,,,,,,,,,,,,,,Grade Type B4NB4Q,,,,,,
,,,,,,,,,,,,,,Grade B4NB4Q,,,,,,
,,,,,,,,,,,,,,Type B4NB4Q,,,,,,
,,,,,,,,,,,,,,B4NB4Q,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J41501,,,,,,
,,,,,,,,,,,,,,Grade UNS J41501,,,,,,
,,,,,,,,,,,,,,Type UNS J41501,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 3135,,,,,,
,,,,,,,,,,,,,,Grade AISI 3135,,,,,,
,,,,,,,,,,,,,,Type AISI 3135,,,,,,
,,,,,,,,,,,,,,AISI 3135,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K22033,,,,,,
,,,,,,,,,,,,,,Grade UNS K22033,,,,,,
,,,,,,,,,,,,,,Type UNS K22033,,,,,,
,,,,,,,,,,,,,,UNS K22033,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 3140,,,,,,
,,,,,,,,,,,,,,Grade AISI 3140,,,,,,
,,,,,,,,,,,,,,Type AISI 3140,,,,,,
,,,,,,,,,,,,,,AISI 3140,,,,,,
,,,,,,,,,,,,,,Grade Type 3140,,,,,,
,,,,,,,,,,,,,,Grade 3140,,,,,,
,,,,,,,,,,,,,,Type 3140,,,,,,
,,,,,,,,,,,,,,3140,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G31400,,,,,,
,,,,,,,,,,,,,,Grade UNS G31400,,,,,,
,,,,,,,,,,,,,,Type UNS G31400,,,,,,
,,,,,,,,,,,,,,UNS G31400,,,,,,
,,,,,,,,,,,,,,Grade Type P3,,,,,,
,,,,,,,,,,,,,,Grade P3,,,,,,
,,,,,,,,,,,,,,Type P3,,,,,,
,,,,,,,,,,,,,,P3,,,,,,
,,,,,,,,,,,,,,Grade Type 3415,,,,,,
,,,,,,,,,,,,,,Grade 3415,,,,,,
,,,,,,,,,,,,,,Type 3415,,,,,,
,,,,,,,,,,,,,,3415,,,,,,
,,,,,,,,,,,,,,Grade Type 3435,,,,,,
,,,,,,,,,,,,,,Grade 3435,,,,,,
,,,,,,,,,,,,,,Type 3435,,,,,,
,,,,,,,,,,,,,,3435,,,,,,
,,,,,,,,,,,,,,Grade Type E3310,,,,,,
,,,,,,,,,,,,,,Grade E3310,,,,,,
,,,,,,,,,,,,,,Type E3310,,,,,,
,,,,,,,,,,,,,,E3310,,,,,,
,,,,,,,,,,,,,,Grade Type 3310,,,,,,
,,,,,,,,,,,,,,Grade 3310,,,,,,
,,,,,,,,,,,,,,Type 3310,,,,,,
,,,,,,,,,,,,,,3310,,,,,,
,,,,,,,,,,,,,,Grade Type AISI E3310,,,,,,
,,,,,,,,,,,,,,Grade AISI E3310,,,,,,
,,,,,,,,,,,,,,Type AISI E3310,,,,,,
,,,,,,,,,,,,,,AISI E3310,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G33106,,,,,,
,,,,,,,,,,,,,,Grade UNS G33106,,,,,,
,,,,,,,,,,,,,,Type UNS G33106,,,,,,
,,,,,,,,,,,,,,UNS G33106,,,,,,
,,,,,,,,,,,,,,Grade Type 4320,,,,,,
,,,,,,,,,,,,,,Grade 4320,,,,,,
,,,,,,,,,,,,,,Type 4320,,,,,,
,,,,,,,,,,,,,,4320,,,,,,
,,,,,,,,,,,,,,Grade Type 4320H,,,,,,
,,,,,,,,,,,,,,Grade 4320H,,,,,,
,,,,,,,,,,,,,,Type 4320H,,,,,,
,,,,,,,,,,,,,,4320H,,,,,,
,,,,,,,,,,,,,,Grade Type 4320RH,,,,,,
,,,,,,,,,,,,,,Grade 4320RH,,,,,,
,,,,,,,,,,,,,,Type 4320RH,,,,,,
,,,,,,,,,,,,,,4320RH,,,,,,
,,,,,,,,,,,,,,Grade Type 4617,,,,,,
,,,,,,,,,,,,,,Grade 4617,,,,,,
,,,,,,,,,,,,,,Type 4617,,,,,,
,,,,,,,,,,,,,,4617,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G46170,,,,,,
,,,,,,,,,,,,,,Grade UNS G46170,,,,,,
,,,,,,,,,,,,,,Type UNS G46170,,,,,,
,,,,,,,,,,,,,,UNS G46170,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G43200,,,,,,
,,,,,,,,,,,,,,Grade UNS G43200,,,,,,
,,,,,,,,,,,,,,Type UNS G43200,,,,,,
,,,,,,,,,,,,,,UNS G43200,,,,,,
,,,,,,,,,,,,,,Grade Type UNS H43200,,,,,,
,,,,,,,,,,,,,,Grade UNS H43200,,,,,,
,,,,,,,,,,,,,,Type UNS H43200,,,,,,
,,,,,,,,,,,,,,UNS H43200,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K13050,,,,,,
,,,,,,,,,,,,,,Grade UNS K13050,,,,,,
,,,,,,,,,,,,,,Type UNS K13050,,,,,,
,,,,,,,,,,,,,,UNS K13050,,,,,,
,,,,,,,,,,,,,,Grade Type UNS J02503,,,,,,
,,,,,,,,,,,,,,Grade UNS J02053,,,,,,
,,,,,,,,,,,,,,Type UNS J02053,,,,,,
,,,,,,,,,,,,,,UNS J02053,,,,,,
,,,,,,,,,,,,,,Grade Type A2Q,,,,,,
,,,,,,,,,,,,,,Grade A2Q,,,,,,
,,,,,,,,,,,,,,Type A2Q,,,,,,
,,,,,,,,,,,,,,A2Q,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K21903,,,,,,
,,,,,,,,,,,,,,Grade UNS K21903,,,,,,
,,,,,,,,,,,,,,Type UNS K21903,,,,,,
,,,,,,,,,,,,,,UNS K21903,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K21010,,,,,,
,,,,,,,,,,,,,,Grade UNS K21010,,,,,,
,,,,,,,,,,,,,,Type UNS K21010,,,,,,
,,,,,,,,,,,,,,UNS K21010,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K20910,,,,,,
,,,,,,,,,,,,,,Grade UNS K20910,,,,,,
,,,,,,,,,,,,,,Type UNS K20910,,,,,,
,,,,,,,,,,,,,,UNS K20910,,,,,,
,,,,,,,,,,,,,,Grade Type 7,,,,,,
,,,,,,,,,,,,,,Grade 7,,,,,,
,,,,,,,,,,,,,,Type 7,,,,,,
,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12554,,,,,,
,,,,,,,,,,,,,,Grade UNS K12554,,,,,,
,,,,,,,,,,,,,,Type UNS K12554,,,,,,
,,,,,,,,,,,,,,UNS K12554,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12539,,,,,,
,,,,,,,,,,,,,,Grade UNS K12539,,,,,,
,,,,,,,,,,,,,,Type UNS K12539,,,,,,
,,,,,,,,,,,,,,UNS K12539,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12529,,,,,,
,,,,,,,,,,,,,,Grade UNS K12529,,,,,,
,,,,,,,,,,,,,,Type UNS K12529,,,,,,
,,,,,,,,,,,,,,UNS K12529,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12054,,,,,,
,,,,,,,,,,,,,,Grade UNS K12054,,,,,,
,,,,,,,,,,,,,,Type UNS K12054,,,,,,
,,,,,,,,,,,,,,UNS K12054,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12042,,,,,,
,,,,,,,,,,,,,,Grade UNS K12042,,,,,,
,,,,,,,,,,,,,,Type UNS K12042,,,,,,
,,,,,,,,,,,,,,UNS K12042,,,,,,
,,,,,,,,,,,,,,"Grade Type 19, Marage 250",,,,,,
,,,,,,,,,,,,,,"Grade 19, Marage 250",,,,,,
,,,,,,,,,,,,,,"Type 19, Marage 250",,,,,,
,,,,,,,,,,,,,,"19, Marage 250",,,,,,
,,,,,,,,,,,,,,Grade Type UNS K93160,,,,,,
,,,,,,,,,,,,,,Grade UNS K93160,,,,,,
,,,,,,,,,,,,,,Type UNS K93160,,,,,,
,,,,,,,,,,,,,,UNS K93160,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K93120,,,,,,
,,,,,,,,,,,,,,Grade UNS K93120,,,,,,
,,,,,,,,,,,,,,Type UNS K93120,,,,,,
,,,,,,,,,,,,,,UNS K93120,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K92890,,,,,,
,,,,,,,,,,,,,,Grade UNS K92890,,,,,,
,,,,,,,,,,,,,,Type UNS K92890,,,,,,
,,,,,,,,,,,,,,UNS K92890,,,,,,
,,,,,,,,,,,,,,Grade Type 72,,,,,,
,,,,,,,,,,,,,,Grade 72,,,,,,
,,,,,,,,,,,,,,Type 72,,,,,,
,,,,,,,,,,,,,,72,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K92940,,,,,,
,,,,,,,,,,,,,,Grade UNS K92940,,,,,,
,,,,,,,,,,,,,,Type UNS K92940,,,,,,
,,,,,,,,,,,,,,UNS K92940,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K92710,,,,,,
,,,,,,,,,,,,,,Grade UNS K92710,,,,,,
,,,,,,,,,,,,,,Type UNS K92710,,,,,,
,,,,,,,,,,,,,,UNS K92710,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K12766,,,,,,
,,,,,,,,,,,,,,Grade UNS K12766,,,,,,
,,,,,,,,,,,,,,Type UNS K12766,,,,,,
,,,,,,,,,,,,,,UNS K12766,,,,,,
,,,,,,,,,,,,,,Grade Type 8940,,,,,,
,,,,,,,,,,,,,,Grade 8940,,,,,,
,,,,,,,,,,,,,,Type 8940,,,,,,
,,,,,,,,,,,,,,8940,,,,,,
,,,,,,,,,,,,,,Grade Type 4340,,,,,,
,,,,,,,,,,,,,,Grade 4340,,,,,,
,,,,,,,,,,,,,,Type 4340,,,,,,
,,,,,,,,,,,,,,4340,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G98400,,,,,,
,,,,,,,,,,,,,,Grade UNS G98400,,,,,,
,,,,,,,,,,,,,,Type UNS G98400,,,,,,
,,,,,,,,,,,,,,UNS G98400,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G43400,,,,,,
,,,,,,,,,,,,,,Grade UNS G43400,,,,,,
,,,,,,,,,,,,,,Type UNS G43400,,,,,,
,,,,,,,,,,,,,,UNS G43400,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 4340,,,,,,
,,,,,,,,,,,,,,Grade AISI 4340,,,,,,
,,,,,,,,,,,,,,Type AISI 4340,,,,,,
,,,,,,,,,,,,,,AISI 4340,,,,,,
,,,,,,,,,,,,,,Grade Type 8620,,,,,,
,,,,,,,,,,,,,,Grade 8620,,,,,,
,,,,,,,,,,,,,,Type 8620,,,,,,
,,,,,,,,,,,,,,8620,,,,,,
,,,,,,,,,,,,,,Grade Type  AISI 8620,,,,,,
,,,,,,,,,,,,,,Grade AISI 8620,,,,,,
,,,,,,,,,,,,,,Type AISI 8620,,,,,,
,,,,,,,,,,,,,,AISI 8620,,,,,,
,,,,,,,,,,,,,,Grade Type UNS G86200,,,,,,
,,,,,,,,,,,,,,Grade UNS G86200,,,,,,
,,,,,,,,,,,,,,Type UNS G86200,,,,,,
,,,,,,,,,,,,,,UNS G86200,,,,,,
,,,,,,,,,,,,,,Grade Type 8617,,,,,,
,,,,,,,,,,,,,,Grade 8617,,,,,,
,,,,,,,,,,,,,,Type 8617,,,,,,
,,,,,,,,,,,,,,8617,,,,,,
,,,,,,,,,,,,,,Grade Type 8617H,,,,,,
